symbol_x,date,title,source,text,join_symbol,symbol_y,open,high,low,close,volume,symbol,date_fund,market_cap,current_price,high_low,stock_pe,book_value,dividend_yield,roce,roe,face_value,return_label
Infosys,2025-12-22,Infosys shares jump 3% after company clarifies about no material events as ADRs jump 40%,Economic Times,"Infosys shares jump 3% after company clarifies about no material events as ADRs jump 40%

Infosys shares are in focus after sharp volatility in its ADRs on the NYSE, driven by heavy trading volumes and sector-wide optimism. The company clarified there were no material developments behind the move. The rally followed strong Accenture results, reinforcing positive sentiment around Indian IT stocks and near-term sector momentum.",INFY,INFY.NS,1664.0,1693.199951171875,1664.0,1689.5999755859375,23098923,INFY,2026-01-02,665352.0,1641.0,1983,24.8,223.0,2.62,40.6,30.3,5.0,0
Infosys,2025-12-22,"Infosys ADRs fall 7% in the opening trade, snap three-session winning streak",Economic Times,"Infosys ADRs fall 7% in the opening trade, snap three-session winning streak

After an unprecedented 40% surge on Friday, Infosys’ American Depositary Receipts (ADRs) slipped more than 7% on Monday to hit an intraday low of $18.78, snapping a three-session winning streak.",INFY,INFY.NS,1664.0,1693.199951171875,1664.0,1689.5999755859375,23098923,INFY,2026-01-02,665352.0,1641.0,1983,24.8,223.0,2.62,40.6,30.3,5.0,0
Reliance Industries,2025-12-23,Indigo cancels 50 flights at various airports,Economic Times,"Indigo cancels 50 flights at various airports

Domestic carrier IndiGo, which is being probed for massive operational disruption earlier this month, cancelled around 50 flights on Tuesday, according to the airline's website. The flights have been cancelled from across airports, including Mumbai, Delhi, Varanasi, Pune, Chandigarh, Amritsar, Indore, and Patna, among others. The airline, however, did not provide any reason for these cancellations. As part of its winter schedule, IndiGo was initially allowed to operate 15,014 flights per week or 2,144 per day on domestic routes, which was 6 per cent more compared to 14,158 flights per week it operated in the summer schedule of 2025. However, following massive disruptions in operations that led to the cancellation of thousands of flights and caused severe hardships to lakhs of air passengers in the country, the government slashed its winter schedule by 10 per cent, or 214 flights per day. Consequently, the airline cannot operate more than 1,930 flights per day, excluding international and cargo services. Following the large-scale flight cancellations, which at one point reached 1,600 in a single day, the Directorate General of Civil Aviation (DGCA) set up a 4-member probe panel to assess manpower planning, fluctuating rostering systems, and the airline's preparedness to implement the latest duty period and rest norms for pilots.The panel has already summoned and grilled IndiGo's two top officials, Chief Executive Officer Pieter Elbers and Chief Operating Officer Isidre Porqueras, and its report is expected by this week.",RELIANCE,RELIANCE.NS,1580.9000244140625,1580.9000244140625,1568.0999755859375,1570.699951171875,7506564,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
HDFC Bank,2025-12-23,"Market Wrap: Sensex dips 42 pts, Nifty holds above 26,150 as IT stocks retreat, halting 2-day rally",Economic Times,"Market Wrap: Sensex dips 42 pts, Nifty holds above 26,150 as IT stocks retreat, halting 2-day rally

Indian equities finished little changed on Tuesday, with the Sensex and Nifty ending flat as a pullback in IT shares ended a two-session rally. The market also came under pressure as foreign investors turned net sellers and investors found few fresh catalysts heading into the year-end.The Sensex slipped 42 points, or 0.05%, to close at 85,524.84, while the Nifty 50 edged up 5 points, or 0.02%, to finish at 26,177.15.On the 30-share Sensex, losses were led by Infosys, Bharti Airtel, Adani Ports, Sun Pharma and Tech Mahindra, each falling between 1% and 1.5%. Losses were capped by advances in ITC, UltraTech Cement, Tata Steel, HDFC Bank and NTPC, which rose in a similar range.Broader markets showed a mixed picture, with small-cap stocks climbing 0.4% while mid-cap shares ended largely unchanged.IT stocks declined 0.8%, retreating after a 3.7% rise over the previous four sessions. The sector had been supported by a weaker rupee, still hovering near record lows, and expectations of a U.S. interest-rate cut in 2026, moves that could lift sentiment and client spending for export-oriented companies.Shares of Ambuja Cements rose 1.3% after the company approved the merger of ACC and Orient Cement, a move it said is expected to result in about 10% value accretion for Ambuja’s shareholders.Expert viewsThe domestic market traded in a narrow range and ended flat amid mixed global cues, said Vinod Nair, Head of Research at Geojit Investments, adding that selling pressure persisted across most sectors, though financials and FMCG offered marginal support. ""Going forward, investors are positioning for the next earnings season and monitoring evolving Fed policy expectations, as rate‑cut probabilities are slowly inching up for the January meeting. While an improving domestic demand outlook provides underlying support, uncertainty around global trade negotiations and the trajectory of the rupee will continue to influence sentiment,"" said Nair.Global MarketsWorld stocks traded near record highs on Tuesday as investors looked ahead to U.S. growth data, while the yen strengthened after Tokyo issued its strongest warning yet on defending the currency.European shares edged higher in early trade, U.S. stock futures were little changed, and gold touched a fresh record just below $4,500 an ounce.Delayed U.S. economic releases following a record government shutdown were in focus in a holiday-shortened week.MSCI’s world index rose 0.2%, nearing recent highs, while Asia-Pacific stocks outside Japan gained 0.4%. Japan’s Nikkei closed flat.Overnight, Nvidia shares rose after Reuters reported the company plans to ship its second-most powerful AI chips to China ahead of the Lunar New Year. China’s CSI 300 added 0.2%.Gold and silver hit record highs, buoyed by safe-haven demand amid rising geopolitical tensions linked to U.S. action involving Venezuelan oil shipments.Crude impactOil prices were steady on Tuesday as the prospect of U.S. sales of seized Venezuelan crude was offset by fresh supply risks following Ukrainian attacks on Russian vessels and port infrastructure.Brent crude futures edged up 7 cents to $62.14 a barrel by 0959 GMT, while U.S. West Texas Intermediate crude rose 4 cents to $58.05.Rupee vs DollarThe Indian rupee strengthened modestly on Tuesday, rising 3 paise to close at 89.65 per dollar, aided by broad weakness in the U.S. currency.The dollar index, which measures the greenback against a basket of six major currencies, was down 0.34% at 97.95.(with inputs from agencies)",HDFCBANK,HDFCBANK.NS,990.5,998.9000244140625,987.7000122070312,996.5999755859375,17927849,HDFCBANK,2026-01-02,1540926.0,1001.0,1020,21.7,337.0,1.1,7.35,14.3,1.0,1
ITC,2025-12-23,"Bitcoin slips to $88,000 as fear tightens its grip. Is this just a pause or the next big move?",Economic Times,"Bitcoin slips to $88,000 as fear tightens its grip. Is this just a pause or the next big move?

Bitcoin slipped to around $88,000 as extreme fear gripped markets and traders stayed cautious ahead of a $28.5 billion options expiry. Short-term volatility is high, but accumulation trends and tightening supply suggest potential year-end upside. Support at $88,000 and resistance near $90,000 could define the next move.",ITC,ITC.NS,402.5,408.8999938964844,401.79998779296875,407.3500061035156,10081997,,,,,,,,,,,,0
TCS,2025-12-23,"Four lost years push Indian IT to an AI reckoning. Will TCS, Infosys, Wipro deliver in 2026?",Economic Times,"Four lost years push Indian IT to an AI reckoning. Will TCS, Infosys, Wipro deliver in 2026?

Indian IT stocks, after a four-year slump, face an AI reckoning. While past growth was fueled by pandemic spending, a cautious global market and AI's initial efficiency gains have pressured revenues. Experts anticipate a gradual AI-driven recovery, with 2026 expected to bring stability and renewed confidence as companies integrate AI into core business processes.",TCS,TCS.NS,3319.89990234375,3319.89990234375,3293.5,3310.0,2365420,TCS,2026-01-02,1176133.0,3250.0,4323,24.5,235.0,1.85,78.4,65.0,1.0,1
Reliance Industries,2025-12-23,Reliance Power among 4 Nifty500 stocks closing below VWAP,Economic Times,"Reliance Power among 4 Nifty500 stocks closing below VWAP

On December 22, four Nifty500 stocks closed more than 1.5% below their VWAP levels, signalling potential bearish pressure. Closing below VWAP indicates the stock ended the session beneath its volume-weighted average price, reflecting rising selling interest and weakening intraday sentiment among market participants.",RELIANCE,RELIANCE.NS,1580.9000244140625,1580.9000244140625,1568.0999755859375,1570.699951171875,7506564,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-23,Jio Financial Services Share Price Highlights: Jio Financial Services Stock Price History,Economic Times,"Jio Financial Services Share Price Highlights: Jio Financial Services Stock Price History

",RELIANCE,RELIANCE.NS,1580.9000244140625,1580.9000244140625,1568.0999755859375,1570.699951171875,7506564,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
ITC,2025-12-23,"Amazon's Zoox to recall 332 US vehicles over software error, NHTSA says",Economic Times,"Amazon's Zoox to recall 332 US vehicles over software error, NHTSA says

Amazon’s self-driving unit Zoox is recalling 332 vehicles in the U.S. due to a software fault in its automated driving system. The glitch could cause cars to cross the yellow line or stop in front of oncoming traffic at intersections. Zoox is providing a free software update to fix the issue.",ITC,ITC.NS,402.5,408.8999938964844,401.79998779296875,407.3500061035156,10081997,,,,,,,,,,,,0
Reliance Industries,2025-12-23,"The Pentagon and AI giants have a weakness. Both need China's batteries, badly.",Economic Times,"The Pentagon and AI giants have a weakness. Both need China's batteries, badly.

As the United States revs up its artificial intelligence sector and military capabilities, a concerning dependency on Chinese-made batteries emerges. This reliance threatens national security, prompting the government to shift focus toward bolstering local battery manufacturing.",RELIANCE,RELIANCE.NS,1580.9000244140625,1580.9000244140625,1568.0999755859375,1570.699951171875,7506564,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-23,"Silver's shine here to stay, says Vedanta Chairman Anil Agarwal after 125% jump in 2025",Economic Times,"Silver's shine here to stay, says Vedanta Chairman Anil Agarwal after 125% jump in 2025

Vedanta Group Chairman Anil Agarwal on Tuesday highlighted silver's sharp rally in 2025, saying the metal has finally emerged from the shadow of gold and is entering what he described as a long-term structural phase driven by technology-led demand.In a post on social media platform X, Agarwal said silver has delivered a year-to-date appreciation of 125% in dollar terms, sharply outperforming gold, which has risen 63% during the same period. While acknowledging that gold has also had a strong year, Agarwal said silver's returns have been almost double, underscoring a shift in investor and industrial interest.Agarwal said the silver story is only the beginning, arguing that the metal occupies a unique position among commodities. According to him, silver is the only metal that combines intrinsic value with strong functional demand.He pointed to new technologies such as solar cells and defence equipment, where silver is a key input, as drivers of long-term demand. Agarwal added that as India's only silver producer, Vedanta Group is seeing this trend play out directly through its operations at Hindustan Zinc.""Prices will go up and down, but silver’s extraordinary shine is here to stay,"" Agarwal said in the post.The comments come at a time when silver has become an important profit driver for Vedanta Group, primarily through its flagship mining arm Hindustan Zinc. The company's latest financial results underline the growing role silver is playing alongside zinc in its earnings profile.For the quarter ended September 2025, Hindustan Zinc reported a consolidated profit after tax of Rs 2,649 crore, marking a 19% sequential increase. Silver alone contributed nearly 40% of the company’s overall profits during the quarter, translating to around Rs 1,060 crore. This highlights the strategic advantage the company enjoys as one of the world's top five silver producers.Silver revenue for the quarter stood at Rs 1,706 crore, up 10% quarter-on-quarter and 20% year-on-year. The sharp increase was driven by a combination of higher global prices and steady operational performance. Silver is produced as a by-product during the mining and refining of lead and zinc ores, and its contribution to earnings has steadily risen as prices have strengthened.For Vedanta and Hindustan Zinc, the rising contribution from silver is also helping diversify earnings at a time when base metal prices can be volatile. Silver's growing share of profits provides a natural hedge and enhances margins, given that much of the production cost is already absorbed within the zinc and lead operations.As one of the few large, integrated producers with meaningful exposure to silver, Hindustan Zinc stands to benefit if the trend Agarwal highlighted continues.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)",RELIANCE,RELIANCE.NS,1580.9000244140625,1580.9000244140625,1568.0999755859375,1570.699951171875,7506564,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
Reliance Industries,2025-12-24,"RVNL, IRCTC, Jupiter Wagons shares are running again. Should you ride railway stocks into the Union Budget?",Economic Times,"RVNL, IRCTC, Jupiter Wagons shares are running again. Should you ride railway stocks into the Union Budget?

Railway stocks are back in the spotlight just as 2025 winds down, with investors snapping up names that have struggled for much of the year. Shares of RVNL, IRCTC, Jupiter Wagons, RailTel, Texmaco Rail and Titagarh Rail staged sharp gains this week, pulling buyers into a sector now buzzing with pre-Budget speculation. The question investors are asking is if this is a sustainable turnaround, or just another pre-Budget spike?Jupiter Wagons led Tuesday’s charge, rising nearly 8% to Rs 335, followed by RailTel Corporation climbing 5.3% to Rs 360. RVNL gained 3% to Rs 342.60, while Titagarh Rail and Texmaco Rail edged up 2% and 1%, respectively. On Wednesday, profit-taking slightly trimmed these gains, though overall momentum remains strong.What’s driving the rally in railways stocks?Analysts said the surge is largely sentiment-driven. “The rally was initiated by the conversion of a preferential issue by the promoters of Jupiter Wagons, which triggered a sharp up move in the stock which in turn, spilled over into other EPC-focused railway businesses,” said Sunny Agrawal, head of fundamental research at SBI Securities.IRCTC also saw buying interest after Indian Railways announced a rationalisation of its fare structure effective December 26, while RailTel gained on reports of talks with Elon Musk-owned Starlink for a potential partnership in India. The moves follow a strong session on Monday, when several railway stocks jumped as much as 13% in afternoon trade.All eyes on the Union BudgetWith the Union Budget scheduled for February 1, market activity is picking up as investors anticipate possible increases in railway capex and infrastructure spend. Expectations for Budget 2026–27 include a potential 10–12% increase in railway allocations to around Rs 2.76 trillion, supporting new Vande Bharat sleeper trains and expanded safety systems.Fundamentals vs technicalsFrom a fundamentals standpoint, SBI Securities prefers wagon-related businesses, where structural demand is stronger. Agrawal recommended booking profits on any further pre-Budget rally, while retaining exposure to companies with sustainable growth drivers.Technically, IRCTC is trading above its 20-day SMA, providing key support at 675, according to Amol Athawale, VP, Technical Research, Kotak Securities. If it holds, the stock could climb to 700–710. Titagarh Rail, up over 6% in the past two sessions, shows potential upside to 870–880, provided it stays above 800.Caution remainsMarket experts warned that pre-Budget hype can be short-lived. “While a pre-Budget rally is a historical pattern, the market in 2026 will likely demand concrete evidence of improved margins and faster project commissioning before committing back to the sector at previous highs,” said Santosh Meena, Swastika Investmart.For now, railway stocks are back in play, but whether the rally continues post-Budget will depend on the allocation numbers and execution on the ground.(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of the Economic Times)",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
ITC,2025-12-24,Bitcoin slips below $88K as holiday trading dries up liquidity. Should you brace for a breakout or breakdown?,Economic Times,"Bitcoin slips below $88K as holiday trading dries up liquidity. Should you brace for a breakout or breakdown?

Bitcoin slipped below $88,000 amid thin holiday trading, with low liquidity amplifying modest sentiment shifts and increasing volatility risks. Profit booking and easing derivatives positions have kept prices range-bound, reflecting cautious market conviction rather than a strong bearish trend.",ITC,ITC.NS,407.95001220703125,409.5,405.6499938964844,406.6000061035156,5777430,,,,,,,,,,,,0
Reliance Industries,2025-12-24,Global investors turn to Chinese AI stocks amid Wall Street valuation concerns,Economic Times,"Global investors turn to Chinese AI stocks amid Wall Street valuation concerns

Global investors are increasingly shifting capital to Chinese AI stocks as stretched U.S. tech valuations raise bubble concerns. Strong policy support, blockbuster chipmaker listings and China’s push for technological self-reliance are boosting interest, with firms like Alibaba, Baidu and Tencent emerging as key beneficiaries of the growing AI investment pivot.",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-24,India bonds rally after Reserve Bank's $32 billion liquidity boost,Economic Times,"India bonds rally after Reserve Bank's $32 billion liquidity boost

Indian government bonds surged Wednesday following the Reserve Bank of India's announcement of a substantial liquidity injection. The central bank plans to inject approximately 2.90 trillion rupees through bond purchases and a dollar-rupee swap, aiming to ease concerns over upcoming debt supply and improve auction demand. This move provided much-needed clarity for the market.",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-24,"Japan plans $189 billion new debt issuance in next year's budget, draft shows",Economic Times,"Japan plans $189 billion new debt issuance in next year's budget, draft shows

Japan is set to unveil a record 122.3 trillion yen budget for the next fiscal year, funded by a substantial $189 billion in new government bonds. Prime Minister Takaichi's administration is prioritizing ""proactive"" spending to revitalize the economy, despite concerns over rising bond yields and Japan's high debt-to-GDP ratio.",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
ICICI Bank,2025-12-24,ICICI Bank Share Price Highlights: ICICI Bank Stock Price History,Economic Times,"ICICI Bank Share Price Highlights: ICICI Bank Stock Price History

",ICICIBANK,ICICIBANK.NS,1363.800048828125,1368.199951171875,1357.5999755859375,1359.800048828125,8955140,ICICIBANK,2026-01-02,969099.0,1355.0,1500,19.6,433.0,0.81,7.61,17.8,2.0,0
TCS,2025-12-24,TCS Share Price Highlights: TCS Stock Price History,Economic Times,"TCS Share Price Highlights: TCS Stock Price History

",TCS,TCS.NS,3304.10009765625,3327.10009765625,3296.10009765625,3319.0,1367708,TCS,2026-01-02,1176133.0,3250.0,4323,24.5,235.0,1.85,78.4,65.0,1.0,0
Reliance Industries,2025-12-24,Reliance gets 1-mth concession to buy Rosneft oil,Economic Times,"Reliance gets 1-mth concession to buy Rosneft oil

",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-24,From Russia to Gujarat: Reliance resumes buying oil,Economic Times,"From Russia to Gujarat: Reliance resumes buying oil

",RELIANCE,RELIANCE.NS,1572.699951171875,1575.699951171875,1553.5999755859375,1558.199951171875,8815745,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,1
Reliance Industries,2025-12-26,"NBFCs raise Rs 635 billion across 24 IPOs in 2025, accounting for 26.6% of total proceeds",Economic Times,"NBFCs raise Rs 635 billion across 24 IPOs in 2025, accounting for 26.6% of total proceeds

In 2025, India's primary equity market scaled new heights as companies raised a record Rs 1.95 trillion through more than 365 initial public offerings (IPOs), according to a latest strategy report by Motilal Oswal Financial Services.",RELIANCE,RELIANCE.NS,1554.699951171875,1561.0,1554.300048828125,1559.199951171875,2311495,RELIANCE,2026-01-02,2155936.0,1592.0,1595,55.1,413.0,0.35,7.57,6.61,10.0,0
